2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,0.0,0.0,0.5,33.0,1.5,0.0,22.0,/,9.0,0.0,0.0
2,/,0.0,0.0,0.0,7.0,1.0,16.0,8.5,0.0,0.0,0.0,0.0
3,0.0,0.0,2.5,0.0,8.5,0.0,1.0,0.5,0.0,0.0,0.0,0.0
4,0.0,0.0,0.5,0.0,10.0,4.5,0.5,0.0,11.5,0.0,0.0,2.5
5,0.0,0.0,0.0,0.0,7.5,0.5,4.5,0.0,9.5,0.0,0.0,4.0
6,/,0.0,2.0,0.0,5.5,1.5,0.0,0.0,3.0,0.0,0.0,3.5
7,0.0,0.0,5.0,0.0,1.5,1.5,1.5,0.0,18.5,0.0,0.0,1.5
8,0.0,0.0,3.5,0.0,1.0,0.0,3.0,38.5,0.5,0.0,0.0,0.0
9,0.0,0.0,4.0,/,4.5,0.0,4.0,17.0,0.0,0.0,0.0,0.0
10,0.0,0.0,13.5,/,4.0,4.5,0.5,5.0,0.0,0.0,0.0,/
11,0.0,0.0,0.5,0.0,0.0,24.5,0.5,14.5,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,23.5,0.5,2.0,0.0,0.0,/,0.0
13,0.0,0.0,0.5,1.0,0.0,9.5,0.0,9.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,/,0.0,34.5,0.0,10.5,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,/,6.0,0.0,0.0,22.0,0.5,0.0,0.0,0.0
16,2.0,0.0,0.0,/,1.5,10.0,0.0,19.0,0.0,0.0,0.0,0.0
17,1.0,0.0,0.0,/,2.5,19.0,/,16.5,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,/,1.0,28.0,27.0,0.0,/,0.0,0.0
19,0.5,0.0,0.0,12.0,6.0,/,0.5,4.5,0.0,0.0,0.0,0.0
20,1.0,0.0,0.0,/,67.0,0.0,0.5,9.0,0.0,0.0,0.0,2.0
21,0.5,0.0,0.0,/,1.0,0.0,7.0,4.5,0.0,0.0,0.0,/
22,0.0,0.0,0.0,0.5,6.5,0.0,3.5,0.5,0.0,/,0.0,0.0
23,0.0,0.5,1.0,0.0,3.0,11.5,7.0,0.0,/,0.0,0.0,0.0
24,0.0,1.0,5.5,0.0,34.0,3.5,0.0,3.0,0.0,0.0,0.0,0.0
25,0.0,0.5,0.0,0.0,12.5,0.5,0.0,1.0,0.0,/,0.0,0.0
26,0.0,0.0,0.0,6.5,0.0,0.5,18.0,0.0,0.0,0.0,0.0,/
27,0.0,0.0,0.0,13.5,10.0,3.0,6.5,0.0,0.0,0.0,0.0,/
28,0.0,0.0,0.0,0.0,8.5,0.0,0.5,0.0,3.5,0.0,0.0,/
29,0.0,,0.0,0.0,11.5,3.0,0.0,0.0,0.0,0.0,0.0,/
30,0.0,,4.0,/,5.5,0.5,0.0,21.5,2.5,0.0,/,/
31,0.0,,0.0,,3.0,,0.0,0.0,,0.0,,6.0
平均,0.2,0.1,1.4,1.6,8.7,5.5,3.5,8.3,1.8,0.3,0,0.8
