2013年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1017.2,1017.9,1012.8,1012.7,1005.6,1005.4,1006.8,1002.7,1008.1,1008.1,1009.7,1017.7
2,1016.6,1017.4,1018.0,1010.9,1007.3,1004.1,1008.2,1010.2,1007.5,1007.7,1010.9,1016.3
3,1017.8,1018.7,1019.2,1009.9,1009.2,1005.3,1007.1,1010.3,1006.0,1007.5,1011.8,1015.9
4,1017.1,1015.8,1018.4,1006.8,1011.1,1007.9,1006.1,1009.4,1007.2,1006.9,1013.9,1014.8
5,1013.9,1016.0,1019.1,1003.8,1011.5,1008.7,1006.8,1007.5,1009.2,1004.6,1014.7,1014.0
6,1014.1,1013.4,1018.6,1006.8,1010.2,1008.1,1008.0,1008.5,1009.9,1001.2,1015.4,1012.1
7,1013.9,1012.1,1016.8,1009.9,1010.0,1005.6,1008.9,1008.6,1009.8,1001.7,1014.3,1012.3
8,1013.9,1016.7,1014.9,1011.6,1009.2,1001.6,1009.1,1007.7,1009.8,1006.1,1014.4,1012.8
9,1014.5,1017.6,1012.5,1012.8,1008.6,1000.2,1007.6,1006.4,1009.3,1008.3,1013.4,1011.3
10,1016.0,1017.2,1013.4,1013.1,1006.8,1001.7,1005.7,1007.2,1007.3,1009.5,1014.2,1011.6
11,1016.3,1017.1,1014.4,1013.3,1005.3,1002.5,1005.6,1006.9,1008.0,1007.4,1012.2,1014.3
12,1015.6,1016.6,1013.8,1015.0,1005.8,1003.5,1002.0,1004.7,1008.8,1005.4,1011.0,1014.2
13,1010.3,1016.2,1012.2,1013.4,1005.2,1002.6,1000.2,1003.1,1007.1,1007.1,1010.5,1015.1
14,1015.5,1014.3,1017.2,1011.2,1005.2,1004.1,1007.2,1006.1,1004.3,1007.9,1012.8,1015.6
15,1017.6,1013.8,1018.1,1008.6,1004.2,1005.6,1008.0,1004.9,1002.6,1010.5,1013.8,1014.5
16,1018.7,1015.8,1016.8,1006.5,1005.0,1005.1,1006.3,1002.0,1003.7,1014.9,1014.8,1010.4
17,1020.7,1013.1,1013.6,1006.6,1005.3,1004.0,1005.2,1000.4,1004.5,1016.1,1014.5,1012.2
18,1023.0,1011.0,1007.7,1007.1,1004.5,1000.5,1003.9,1000.8,1004.9,1014.6,1017.4,1014.1
19,1020.3,1014.1,1010.0,1008.3,1003.7,999.1,1007.4,999.1,1003.2,1013.2,1017.8,1016.8
20,1020.0,1016.4,1010.6,1009.4,1003.9,1001.7,1006.6,997.3,1000.8,1011.5,1016.7,1018.3
21,1017.7,1017.5,1012.5,1012.2,1006.6,1004.2,1006.0,990.5,990.9,1010.0,1015.3,1019.1
22,1017.0,1018.4,1011.3,1013.3,1005.5,1005.5,1007.5,1000.0,999.4,1010.6,1016.5,1019.8
23,1016.3,1019.3,1009.4,1011.3,1007.1,1006.3,1007.5,1003.4,1003.5,1009.0,1014.8,1016.9
24,1014.8,1017.8,1008.9,1010.4,1007.9,1007.0,1007.2,1005.7,1004.6,1007.6,1012.1,1018.0
25,1014.6,1017.6,1010.7,1008.6,1007.1,1006.9,1006.3,1005.6,1007.1,1010.6,1010.5,1016.5
26,1015.8,1015.3,1010.9,1009.3,1006.1,1005.6,1007.1,1004.1,1008.2,1013.8,1013.8,1015.5
27,1017.1,1011.5,1010.8,1010.9,1005.6,1004.9,1007.5,1003.0,1007.8,1015.0,1015.5,1018.2
28,1018.5,1011.1,1012.0,1011.2,1009.0,1004.7,1007.4,1000.8,1005.6,1015.8,1019.5,1017.9
29,1018.9,,1011.6,1010.4,1009.4,1006.8,1006.6,1002.9,1005.3,1015.8,1020.3,1018.1
30,1020.3,,1011.2,1007.9,1008.5,1007.1,1004.7,1003.3,1007.1,1013.2,1018.2,1017.6
31,1019.4,,1012.0,,1007.1,,1003.7,1004.8,,1012.4,,1016.3
平均,1016.9,1015.7,1013.5,1010.1,1007,1004.5,1006.4,1004.1,1005.7,1009.8,1014.4,1015.4
