2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2021-01-01 14:30:00,2021-02-01 16:08:00,2021-03-01 14:18:00,2021-04-01 12:29:00,2021-05-01 11:18:00,2021-06-01 11:28:00,2021-07-01 12:04:00,,,,,
2,2021-01-02 13:36:00,2021-02-02 12:18:00,2021-03-02 14:47:00,2021-04-02 14:24:00,2021-05-02 12:22:00,2021-06-02 11:35:00,2021-07-02 12:27:00,,,,,
3,2021-01-03 12:30:00,2021-02-03 13:25:00,2021-03-03 12:32:00,2021-04-03 11:52:00,2021-05-03 13:01:00,2021-06-03 11:30:00,2021-07-03 11:54:00,,,,,
4,2021-01-04 13:16:00,2021-02-04 12:18:00,2021-03-04 13:27:00,2021-04-04 13:08:00,2021-05-04 11:58:00,2021-06-04 12:49:00,2021-07-04 11:19:00,,,,,
5,2021-01-05 13:15:00,2021-02-05 13:51:00,2021-03-05 13:29:00,2021-04-05 12:53:00,2021-05-05 11:43:00,2021-06-05 14:27:00,2021-07-05 12:20:00,,,,,
6,2021-01-06 14:41:00,2021-02-06 13:53:00,2021-03-06 14:53:00,2021-04-06 12:15:00,2021-05-06 12:44:00,2021-06-06 13:37:00,2021-07-06 12:12:00,,,,,
7,2021-01-07 15:18:00,2021-02-07 13:09:00,2021-03-07 13:42:00,2021-04-07 12:09:00,2021-05-07 14:43:00,2021-06-07 16:21:00,,,,,,
8,2021-01-08 23:57:00,2021-02-08 14:02:00,2021-03-08 14:02:00,2021-04-08 14:05:00,2021-05-08 11:11:00,2021-06-08 13:23:00,,,,,,
9,2021-01-09 13:17:00,2021-02-09 14:35:00,2021-03-09 13:05:00,2021-04-09 14:21:00,2021-05-09 11:58:00,2021-06-09 11:41:00,,,,,,
10,2021-01-10 13:51:00,2021-02-10 13:19:00,2021-03-10 12:20:00,2021-04-10 12:55:00,2021-05-10 11:47:00,2021-06-10 12:04:00,,,,,,
11,2021-01-11 13:41:00,2021-02-11 12:48:00,2021-03-11 12:07:00,2021-04-11 12:37:00,2021-05-11 11:11:00,2021-06-11 10:58:00,,,,,,
12,2021-01-12 14:24:00,2021-02-12 13:40:00,2021-03-12 11:24:00,2021-04-12 15:14:00,2021-05-12 10:56:00,2021-06-12 12:13:00,,,,,,
13,2021-01-13 12:38:00,2021-02-13 14:03:00,2021-03-13 13:12:00,2021-04-13 11:11:00,2021-05-13 10:07:00,2021-06-13 12:31:00,,,,,,
14,2021-01-14 14:21:00,2021-02-14 14:22:00,2021-03-14 13:07:00,2021-04-14 13:35:00,2021-05-14 11:00:00,2021-06-14 11:48:00,,,,,,
15,2021-01-15 13:14:00,2021-02-15 11:50:00,2021-03-15 15:21:00,2021-04-15 12:26:00,2021-05-15 11:19:00,2021-06-15 15:16:00,,,,,,
16,2021-01-16 12:54:00,2021-02-16 11:54:00,2021-03-16 14:00:00,2021-04-16 12:38:00,2021-05-16 11:45:00,2021-06-16 15:58:00,,,,,,
17,2021-01-17 13:01:00,2021-02-17 14:50:00,2021-03-17 14:43:00,2021-04-17 14:20:00,2021-05-17 10:24:00,2021-06-17 12:35:00,,,,,,
18,2021-01-18 13:37:00,2021-02-18 13:33:00,2021-03-18 14:00:00,2021-04-18 12:36:00,2021-05-18 13:43:00,2021-06-18 14:23:00,,,,,,
19,2021-01-19 12:50:00,2021-02-19 13:48:00,2021-03-19 13:41:00,2021-04-19 14:16:00,2021-05-19 11:32:00,2021-06-19 16:29:00,,,,,,
20,2021-01-20 12:10:00,2021-02-20 14:59:00,2021-03-20 13:00:00,2021-04-20 11:14:00,2021-05-20 12:56:00,2021-06-20 15:11:00,,,,,,
21,2021-01-21 13:20:00,2021-02-21 13:54:00,2021-03-21 13:59:00,2021-04-21 11:45:00,2021-05-21 14:33:00,2021-06-21 15:51:00,,,,,,
22,2021-01-22 13:02:00,2021-02-22 09:55:00,2021-03-22 03:16:00,2021-04-22 10:53:00,2021-05-22 12:16:00,2021-06-22 10:20:00,,,,,,
23,2021-01-23 15:31:00,2021-02-23 12:09:00,2021-03-23 15:14:00,2021-04-23 11:56:00,2021-05-23 13:14:00,2021-06-23 11:23:00,,,,,,
24,2021-01-24 14:32:00,2021-02-24 11:41:00,2021-03-24 16:33:00,2021-04-24 12:40:00,2021-05-24 12:36:00,2021-06-24 12:16:00,,,,,,
25,2021-01-25 14:53:00,2021-02-25 14:50:00,2021-03-25 12:46:00,2021-04-25 09:07:00,2021-05-25 10:19:00,2021-06-25 15:33:00,,,,,,
26,2021-01-26 15:08:00,2021-02-26 13:06:00,2021-03-26 13:18:00,2021-04-26 12:38:00,2021-05-26 11:06:00,2021-06-26 17:12:00,,,,,,
27,2021-01-27 14:01:00,2021-02-27 14:13:00,2021-03-27 12:50:00,2021-04-27 10:53:00,2021-05-27 13:30:00,2021-06-27 09:36:00,,,,,,
28,2021-01-28 12:58:00,2021-02-28 16:15:00,2021-03-28 12:22:00,2021-04-28 11:18:00,2021-05-28 12:31:00,2021-06-28 15:16:00,,,,,,
29,2021-01-29 13:44:00,,2021-03-29 11:18:00,2021-04-29 19:00:00,2021-05-29 09:57:00,2021-06-29 15:33:00,,,,,,
30,2021-01-30 14:07:00,,2021-03-30 11:48:00,2021-04-30 13:00:00,2021-05-30 06:05:00,2021-06-30 15:47:00,,,,,,
31,2021-01-31 12:48:00,,2021-03-31 11:24:00,,2021-05-31 11:25:00,,,,,,,
平均, , , , , , , , , , , , 
