ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1015.4 ,1017.9 ,1016.9 ,2019-12-01 23:34 ,1013.4 ,2019-12-01 13:43 ,20.5 ,23.8 ,2019-12-01 10:04 ,18.2 ,2019-12-01 04:24 ,16.4 ,77 ,68 ,2019-12-01 10:03 ,3.2 ,40 ,13.2 ,40 ,2019-12-01 23:29 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.2 ,77.1 ,14.60 ,14.0 ,4.2 ,6 ,2019-12-01 12:00 ,4.5 
02,1020.3 ,1022.9 ,1023.0 ,2019-12-02 20:05 ,1016.9 ,2019-12-02 00:01 ,16.2 ,19.3 ,2019-12-02 00:01 ,14.8 ,2019-12-02 18:53 ,9.4 ,64 ,51 ,2019-12-02 20:10 ,8.5 ,40 ,17.3 ,50 ,2019-12-02 16:37 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,0.16 ,15.3 ,3.8 ,1 ,2019-12-02 12:00 ,9.3 
03,1020.4 ,1023.0 ,1021.5 ,2019-12-03 07:54 ,1018.7 ,2019-12-03 14:25 ,16.6 ,19.2 ,2019-12-03 12:07 ,14.5 ,2019-12-03 04:20 ,7.4 ,55 ,48 ,2019-12-03 10:29 ,10.1 ,50 ,21.8 ,60 ,2019-12-03 14:04 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,8.8 ,82.9 ,13.66 ,16.3 ,6.1 ,5 ,2019-12-03 12:00 ,4.5 
04,1021.3 ,1023.9 ,1023.3 ,2019-12-04 20:22 ,1019.6 ,2019-12-04 14:03 ,17.3 ,19.9 ,2019-12-04 10:56 ,15.2 ,2019-12-04 23:59 ,8.6 ,57 ,50 ,2019-12-04 02:32 ,10.4 ,50 ,22.6 ,50 ,2019-12-04 12:05 ,T ,0.6 ,T ,2019-12-04 23:40 ,T ,2019-12-04 23:25 ,4.0 ,37.7 ,10.31 ,17.5 ,-3.6 ,5 ,2019-12-04 12:00 ,7.2 
05,1022.1 ,1024.7 ,1024.4 ,2019-12-05 21:13 ,1019.9 ,2019-12-05 13:32 ,14.9 ,15.8 ,2019-12-05 04:33 ,14.3 ,2019-12-05 08:08 ,11.4 ,80 ,66 ,2019-12-05 00:01 ,9.0 ,50 ,19.3 ,50 ,2019-12-05 09:09 ,55.7 ,21.6 ,1.6 ,2019-12-05 22:49 ,6.2 ,2019-12-05 22:40 ,0.0 ,0.0 ,0.22 ,4.2 ,/ ,1 ,2019-12-05 12:00 ,10.0 
06,1021.5 ,1024.1 ,1023.3 ,2019-12-06 21:04 ,1019.0 ,2019-12-06 14:50 ,14.4 ,15.8 ,2019-12-06 03:06 ,12.4 ,2019-12-06 23:58 ,13.1 ,92 ,79 ,2019-12-06 00:01 ,10.2 ,40 ,21.8 ,30 ,2019-12-06 07:02 ,56.2 ,23.7 ,1.8 ,2019-12-06 00:50 ,5.1 ,2019-12-06 00:40 ,0.0 ,0.0 ,0.70 ,4.8 ,-0.9 ,1 ,2019-12-06 12:00 ,10.0 
07,1022.6 ,1025.2 ,1023.9 ,2019-12-07 09:18 ,1021.1 ,2019-12-07 02:20 ,14.4 ,15.8 ,2019-12-07 14:06 ,12.0 ,2019-12-07 01:12 ,10.0 ,76 ,52 ,2019-12-07 18:42 ,9.5 ,40 ,19.9 ,40 ,2019-12-07 10:00 ,8.3 ,4.7 ,1.5 ,2019-12-07 00:43 ,4.5 ,2019-12-07 00:11 ,0.2 ,1.9 ,4.61 ,15.0 ,2.8 ,3 ,2019-12-07 13:00 ,9.5 
08,1021.7 ,1024.3 ,1023.8 ,2019-12-08 08:36 ,1019.9 ,2019-12-08 14:53 ,16.2 ,19.2 ,2019-12-08 11:17 ,14.0 ,2019-12-08 02:55 ,8.2 ,59 ,47 ,2019-12-08 13:18 ,6.7 ,50 ,17.9 ,40 ,2019-12-08 12:20 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.7 ,72.8 ,13.07 ,18.7 ,3.9 ,6 ,2019-12-08 12:00 ,5.3 
09,1017.7 ,1020.3 ,1020.8 ,2019-12-09 00:01 ,1015.7 ,2019-12-09 17:04 ,18.0 ,21.6 ,2019-12-09 12:12 ,14.4 ,2019-12-09 01:13 ,10.7 ,62 ,55 ,2019-12-09 09:51 ,4.8 ,50 ,13.2 ,50 ,2019-12-09 08:58 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,4.6 ,43.5 ,10.67 ,19.3 ,2.7 ,4 ,2019-12-09 13:00 ,9.5 
10,1014.9 ,1017.5 ,1017.0 ,2019-12-10 08:53 ,1012.9 ,2019-12-10 14:51 ,18.3 ,21.9 ,2019-12-10 11:11 ,14.3 ,2019-12-10 02:32 ,13.1 ,72 ,54 ,2019-12-10 09:53 ,2.2 ,40 ,6.0 ,270 ,2019-12-10 12:27 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.5 ,71.0 ,13.78 ,14.5 ,2.8 ,5 ,2019-12-10 12:00 ,5.8 
11,1015.5 ,1018.1 ,1017.8 ,2019-12-11 23:05 ,1013.4 ,2019-12-11 13:46 ,19.5 ,22.2 ,2019-12-11 12:35 ,18.1 ,2019-12-11 23:36 ,13.5 ,69 ,55 ,2019-12-11 14:25 ,7.3 ,50 ,17.6 ,40 ,2019-12-11 22:03 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.4 ,60.6 ,12.06 ,16.5 ,4.9 ,5 ,2019-12-11 13:00 ,4.7 
12,1018.7 ,1021.3 ,1020.4 ,2019-12-12 21:17 ,1016.5 ,2019-12-12 14:30 ,18.4 ,21.6 ,2019-12-12 12:55 ,16.3 ,2019-12-12 06:50 ,10.3 ,59 ,50 ,2019-12-12 10:40 ,8.2 ,50 ,18.5 ,40 ,2019-12-12 11:20 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.4 ,89.0 ,14.23 ,13.7 ,8.2 ,5 ,2019-12-12 12:00 ,0.2 
13,1019.8 ,1022.4 ,1021.8 ,2019-12-13 09:57 ,1018.6 ,2019-12-13 01:36 ,19.4 ,21.8 ,2019-12-13 10:59 ,16.6 ,2019-12-13 02:01 ,14.2 ,72 ,66 ,2019-12-13 00:08 ,5.5 ,50 ,13.7 ,20 ,2019-12-13 12:40 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.7 ,73.0 ,13.04 ,13.0 ,2.6 ,5 ,2019-12-13 13:00 ,2.5 
14,1018.9 ,1021.4 ,1021.3 ,2019-12-14 09:04 ,1017.4 ,2019-12-14 16:19 ,20.2 ,23.0 ,2019-12-14 12:13 ,18.5 ,2019-12-14 02:21 ,14.9 ,72 ,66 ,2019-12-14 21:20 ,6.0 ,50 ,13.5 ,30 ,2019-12-14 11:45 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,9.8 ,92.9 ,14.45 ,15.3 ,3.1 ,5 ,2019-12-14 12:00 ,1.0 
15,1017.2 ,1019.7 ,1019.6 ,2019-12-15 09:09 ,1015.8 ,2019-12-15 16:04 ,20.5 ,25.2 ,2019-12-15 11:56 ,16.1 ,2019-12-15 23:59 ,15.3 ,72 ,58 ,2019-12-15 10:32 ,1.7 ,70 ,9.5 ,60 ,2019-12-15 00:39 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.1 ,67.3 ,13.09 ,14.3 ,3.3 ,6 ,2019-12-15 13:00 ,3.8 
16,1015.6 ,1018.2 ,1017.9 ,2019-12-16 08:56 ,1013.1 ,2019-12-16 16:48 ,18.4 ,23.5 ,2019-12-16 12:35 ,15.4 ,2019-12-16 03:13 ,16.1 ,87 ,69 ,2019-12-16 12:23 ,1.7 ,210 ,5.4 ,200 ,2019-12-16 07:04 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,7.3 ,69.2 ,14.08 ,4.5 ,4.5 ,6 ,2019-12-16 12:00 ,4.0 
17,1015.4 ,1018.0 ,1018.0 ,2019-12-17 08:17 ,1013.4 ,2019-12-17 15:02 ,20.8 ,27.5 ,2019-12-17 12:31 ,15.5 ,2019-12-17 04:01 ,16.8 ,80 ,51 ,2019-12-17 16:13 ,1.5 ,300 ,5.7 ,250 ,2019-12-17 13:51 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,2.9 ,27.5 ,8.36 ,9.7 ,0.8 ,4 ,2019-12-17 13:00 ,7.8 
18,1016.8 ,1019.4 ,1018.5 ,2019-12-18 08:43 ,1014.9 ,2019-12-18 01:15 ,19.4 ,20.6 ,2019-12-18 11:58 ,18.2 ,2019-12-18 01:31 ,15.9 ,80 ,75 ,2019-12-18 11:50 ,7.0 ,40 ,16.4 ,40 ,2019-12-18 18:47 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,0.0 ,0.0 ,3.15 ,7.3 ,0.9 ,3 ,2019-12-18 12:00 ,9.3 
19,1017.8 ,1020.4 ,1019.8 ,2019-12-19 20:12 ,1016.5 ,2019-12-19 03:36 ,18.1 ,19.7 ,2019-12-19 11:10 ,16.3 ,2019-12-19 20:29 ,14.8 ,81 ,77 ,2019-12-19 21:53 ,7.5 ,40 ,16.5 ,40 ,2019-12-19 23:26 ,0.4 ,2.6 ,0.1 ,2019-12-19 20:05 ,0.3 ,2019-12-19 19:40 ,0.0 ,0.0 ,3.10 ,11.3 ,-1.0 ,2 ,2019-12-19 12:00 ,9.7 
20,1017.4 ,1020.0 ,1019.3 ,2019-12-20 01:06 ,1014.7 ,2019-12-20 15:38 ,18.1 ,21.1 ,2019-12-20 14:25 ,16.2 ,2019-12-20 01:43 ,14.4 ,79 ,71 ,2019-12-20 14:25 ,8.6 ,50 ,18.1 ,50 ,2019-12-20 09:13 ,0.8 ,0.9 ,0.3 ,2019-12-20 21:15 ,0.8 ,2019-12-20 21:03 ,1.1 ,10.4 ,7.93 ,17.0 ,-1.1 ,4 ,2019-12-20 12:00 ,9.0 
