ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
01,1007.0 ,1009.5 ,1009.1 ,2015-06-01 22:07 ,1004.6 ,2015-06-01 03:04 ,26.7 ,29.0 ,2015-06-01 16:04 ,24.7 ,2015-06-01 00:01 ,25.1 ,91 ,87 ,2015-06-01 11:17 ,2.8 ,250 ,13.4 ,240 ,2015-06-01 00:38 ,0.6 ,2.0 ,0.5 ,2015-06-01 05:41 ,0.5 ,2015-06-01 04:51 ,1.2 ,8.9 ,12.36 ,8.5 ,3.0 ,6 ,2015-06-01 12:00 ,8.7 
02,1007.1 ,1009.6 ,1008.2 ,2015-06-02 10:12 ,1005.8 ,2015-06-02 17:13 ,27.8 ,30.6 ,2015-06-02 12:45 ,24.8 ,2015-06-02 02:49 ,25.4 ,87 ,76 ,2015-06-02 11:15 ,5.4 ,240 ,15.6 ,250 ,2015-06-02 12:32 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.1 ,74.5 ,27.86 ,10.5 ,7.1 ,12 ,2015-06-02 12:00 ,3.3 
03,1007.0 ,1009.5 ,1008.7 ,2015-06-03 23:25 ,1005.4 ,2015-06-03 17:01 ,28.3 ,30.0 ,2015-06-03 15:22 ,27.1 ,2015-06-03 22:56 ,25.6 ,86 ,76 ,2015-06-03 17:16 ,7.1 ,230 ,16.2 ,220 ,2015-06-03 12:34 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,5.8 ,42.8 ,22.15 ,14.5 ,6.5 ,9 ,2015-06-03 13:00 ,5.0 
04,1006.6 ,1009.1 ,1008.5 ,2015-06-04 00:01 ,1004.9 ,2015-06-04 16:35 ,26.8 ,29.5 ,2015-06-04 11:10 ,25.5 ,2015-06-04 05:19 ,25.0 ,90 ,81 ,2015-06-04 07:35 ,2.2 ,20 ,7.3 ,10 ,2015-06-04 11:26 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,3.5 ,25.8 ,15.05 ,7.7 ,3.4 ,9 ,2015-06-04 12:00 ,8.3 
05,1004.1 ,1006.6 ,1005.9 ,2015-06-05 22:37 ,1002.7 ,2015-06-05 15:37 ,28.4 ,30.8 ,2015-06-05 11:42 ,25.6 ,2015-06-05 00:01 ,25.6 ,85 ,73 ,2015-06-05 11:40 ,6.6 ,230 ,18.1 ,230 ,2015-06-05 13:30 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.5 ,47.9 ,20.37 ,9.7 ,-5.3 ,10 ,2015-06-05 12:00 ,7.0 
06,1006.6 ,1009.0 ,1008.6 ,2015-06-06 22:02 ,1004.9 ,2015-06-06 01:23 ,27.2 ,30.9 ,2015-06-06 11:00 ,24.5 ,2015-06-06 05:08 ,25.0 ,88 ,61 ,2015-06-06 12:18 ,1.9 ,330 ,9.0 ,30 ,2015-06-06 02:43 ,2.0 ,2.0 ,0.5 ,2015-06-06 03:39 ,1.0 ,2015-06-06 03:39 ,0.4 ,2.9 ,14.08 ,7.7 ,3.2 ,8 ,2015-06-06 13:00 ,9.0 
07,1007.5 ,1010.0 ,1008.8 ,2015-06-07 08:36 ,1006.5 ,2015-06-07 15:17 ,27.3 ,29.7 ,2015-06-07 11:31 ,25.4 ,2015-06-07 04:18 ,25.2 ,89 ,81 ,2015-06-07 09:00 ,2.3 ,290 ,7.4 ,280 ,2015-06-07 13:56 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,6.2 ,45.6 ,24.06 ,7.7 ,6.5 ,10 ,2015-06-07 12:00 ,6.8 
08,1005.5 ,1008.0 ,1006.9 ,2015-06-08 08:36 ,1003.9 ,2015-06-08 16:29 ,28.1 ,30.1 ,2015-06-08 13:18 ,25.7 ,2015-06-08 01:49 ,25.0 ,84 ,73 ,2015-06-08 09:00 ,6.6 ,220 ,15.8 ,230 ,2015-06-08 12:47 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.8 ,79.4 ,26.67 ,11.8 ,5.3 ,10 ,2015-06-08 13:00 ,6.3 
09,1004.5 ,1006.9 ,1005.7 ,2015-06-09 22:57 ,1002.7 ,2015-06-09 15:54 ,28.3 ,30.5 ,2015-06-09 12:15 ,24.1 ,2015-06-09 01:26 ,25.2 ,83 ,75 ,2015-06-09 08:08 ,6.7 ,240 ,16.8 ,230 ,2015-06-09 06:37 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,10.6 ,77.9 ,27.08 ,13.3 ,8.9 ,11 ,2015-06-09 12:00 ,5.7 
10,1004.8 ,1007.3 ,1006.1 ,2015-06-10 07:41 ,1002.5 ,2015-06-10 16:07 ,29.0 ,31.0 ,2015-06-10 12:27 ,26.5 ,2015-06-10 05:30 ,25.6 ,82 ,75 ,2015-06-10 12:21 ,6.9 ,220 ,16.5 ,230 ,2015-06-10 13:45 ,0.0 ,0.0 ,0.0 ,... ,0.0 ,... ,12.4 ,91.1 ,27.32 ,12.7 ,7.8 ,10 ,2015-06-10 13:00 ,4.8 
