2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1025.0,1022.0,1014.0,1014.7,1012.4,1011.3,1006.0,1008.1,1003.3,1008.6,1013.6,1018.2
2,1024.0,1022.3,1017.1,1017.4,1009.6,1010.3,1007.7,1007.2,1005.8,1010.2,1012.5,1016.8
3,1022.0,1020.8,1018.1,1017.1,1008.7,1009.5,1009.9,1004.9,1008.5,1010.3,1014.3,1016.7
4,1020.2,1019.6,1017.3,1017.3,1010.2,1009.1,1009.6,1007.2,1008.8,1009.0,1015.3,1016.7
5,1020.7,1019.7,1018.3,1018.0,1009.1,1008.6,1007.6,1010.2,1005.9,1010.0,1015.2,1017.5
6,1019.7,1019.1,1016.8,1016.0,1009.1,1007.9,1008.0,1010.3,1004.8,1011.8,1011.2,1016.9
7,1017.0,1020.6,1013.9,1014.4,1009.9,1007.9,1009.9,1008.4,1008.6,1012.4,1014.0,1017.4
8,1018.2,1022.3,1011.7,1015.0,1009.4,1008.7,1007.4,1005.5,1011.8,1012.6,1015.7,1017.1
9,1017.8,1023.6,1008.7,1016.3,1009.2,1009.8,1005.4,1003.9,1009.9,1012.4,1015.8,1015.5
10,1016.1,1022.1,1012.7,1017.4,1009.4,1009.6,1007.3,1005.4,1007.4,1010.7,1017.5,1015.1
11,1014.9,1021.4,1017.7,1014.7,1009.7,1008.0,1008.6,1009.2,1008.6,1009.1,1017.9,1014.3
12,1015.7,1018.0,1016.2,1015.5,1010.3,1006.3,1008.2,1013.1,1011.0,1009.2,1015.8,1013.9
13,1017.1,1015.6,1015.5,1017.7,1011.9,1007.6,1007.3,1011.9,1011.3,1011.6,1015.1,1014.5
14,/,1015.0,1016.2,1016.6,1011.5,1011.4,1005.8,1009.7,1010.2,1013.0,1016.1,1017.3
15,1018.5,1014.3,1018.4,1015.1,1008.9,1011.6,1006.1,1009.3,1009.6,1012.5,1017.5,1019.9
16,/,1017.8,1019.6,1014.9,1008.1,1009.9,1007.7,1009.1,1009.0,1012.6,1016.0,1020.4
17,1018.4,1023.8,1018.8,1015.0,1005.1,1008.8,1008.9,1007.8,1008.6,1013.5,1014.4,1019.3
18,1019.0,1024.4,1015.6,1014.2,1004.9,1008.9,1008.7,1007.6,1011.7,1014.1,1012.9,1019.4
19,/,1024.0,1014.3,1011.9,1006.8,1009.2,1008.6,1008.0,1012.8,1013.4,1011.9,1020.4
20,/,1024.5,1015.1,1012.9,1008.3,1008.5,1010.2,1008.5,1010.9,1011.4,1012.9,1020.8
21,1022.0,1026.0,1015.2,1013.0,1006.3,1006.6,1011.0,1007.2,1010.0,1007.4,1014.1,1019.4
22,/,1025.0,1013.8,1014.4,1003.7,1006.8,1010.0,1005.5,1009.5,1009.1,1016.8,1017.5
23,1017.9,1023.3,1014.0,1016.1,1005.4,1007.3,1009.3,1006.5,1009.9,1010.5,1017.9,1015.7
24,1019.1,1020.3,1014.8,1017.0,1008.4,1006.8,1008.2,1004.5,1009.7,1013.0,1018.1,1014.5
25,1016.4,1017.8,1014.0,1016.4,1010.0,1007.6,1007.5,1003.5,1009.0,1013.6,1017.3,1017.3
26,1011.9,1017.8,1013.7,1015.6,1008.8,1009.2,1007.1,1003.4,1008.8,1012.0,1017.5,1017.8
27,1014.1,1018.8,1013.4,1015.3,1008.9,1009.2,1007.1,1003.1,1010.6,1011.9,1018.6,1015.4
28,1016.4,1017.4,1013.5,1015.7,1010.6,1008.1,1008.4,1003.8,1010.3,1014.3,1019.1,1013.3
29,1018.5,1014.4,1014.5,1015.8,1011.1,1006.6,1007.8,1004.4,1007.9,1016.0,1019.4,1013.2
30,1019.6,,1013.0,1014.9,1011.8,1005.8,1006.8,1004.5,1007.3,1016.1,1019.3,1019.8
31,1020.8,,1012.9,,1011.8,,1006.9,1003.4,,1015.2,,1024.1
平均,1018.5,1020.4,1015.1,1015.5,1009,1008.6,1008,1006.9,1009.1,1011.9,1015.8,1017.3
