2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 08:13:00,2019-06-01 04:00:00,2019-07-01 00:00:00,2019-08-01 16:29:00,2019-09-01 16:51:00,2019-10-01 03:50:00,2019-11-01 00:00:00,2019-12-01 00:00:00
2,2019-01-02 00:00:00,2019-02-02 00:00:00,2019-03-02 00:00:00,2019-04-02 00:00:00,2019-05-02 18:24:00,2019-06-02 03:23:00,2019-07-02 23:38:00,2019-08-02 00:00:00,2019-09-02 00:00:00,2019-10-02 00:00:00,2019-11-02 00:00:00,2019-12-02 00:00:00
3,2019-01-03 00:00:00,2019-02-03 00:00:00,2019-03-03 00:00:00,2019-04-03 00:00:00,2019-05-03 03:01:00,2019-06-03 00:00:00,2019-07-03 10:32:00,2019-08-03 00:00:00,2019-09-03 16:31:00,2019-10-03 14:07:00,2019-11-03 00:00:00,2019-12-03 00:00:00
4,/,2019-02-04 03:52:00,2019-03-04 00:00:00,2019-04-04 00:00:00,2019-05-04 00:00:00,2019-06-04 11:28:00,2019-07-04 00:00:00,2019-08-04 00:00:00,2019-09-04 17:39:00,2019-10-04 00:00:00,2019-11-04 00:00:00,2019-12-04 16:37:00
5,2019-01-05 00:00:00,2019-02-05 00:00:00,2019-03-05 21:03:00,2019-04-05 00:00:00,2019-05-05 19:00:00,2019-06-05 00:00:00,2019-07-05 10:38:00,2019-08-05 00:00:00,2019-09-05 14:06:00,2019-10-05 16:07:00,2019-11-05 00:00:00,2019-12-05 23:07:00
6,2019-01-06 00:00:00,2019-02-06 00:00:00,2019-03-06 01:45:00,2019-04-06 00:00:00,2019-05-06 22:18:00,2019-06-06 17:57:00,2019-07-06 17:24:00,2019-08-06 00:00:00,2019-09-06 18:56:00,2019-10-06 00:00:00,2019-11-06 00:00:00,2019-12-06 09:47:00
7,2019-01-07 00:00:00,2019-02-07 00:00:00,2019-03-07 03:09:00,2019-04-07 00:00:00,2019-05-07 00:09:00,2019-06-07 00:00:00,2019-07-07 00:00:00,2019-08-07 18:36:00,2019-09-07 00:00:00,2019-10-07 00:00:00,2019-11-07 00:00:00,2019-12-07 00:00:00
8,2019-01-08 00:00:00,2019-02-08 00:00:00,2019-03-08 03:40:00,2019-04-08 00:00:00,2019-05-08 06:31:00,2019-06-08 00:00:00,2019-07-08 00:00:00,2019-08-08 20:23:00,/,2019-10-08 00:00:00,2019-11-08 00:00:00,2019-12-08 00:00:00
9,2019-01-09 00:00:00,2019-02-09 00:00:00,2019-03-09 12:04:00,2019-04-09 00:00:00,2019-05-09 05:13:00,2019-06-09 00:00:00,2019-07-09 08:13:00,2019-08-09 02:31:00,2019-09-09 00:00:00,2019-10-09 00:00:00,2019-11-09 00:00:00,2019-12-09 00:00:00
10,2019-01-10 00:00:00,2019-02-10 00:00:00,2019-03-10 01:24:00,2019-04-10 00:00:00,2019-05-10 02:25:00,2019-06-10 15:26:00,/,2019-08-10 00:00:00,2019-09-10 14:48:00,2019-10-10 00:00:00,2019-11-10 00:00:00,/
11,2019-01-11 00:00:00,2019-02-11 00:00:00,2019-03-11 02:34:00,2019-04-11 00:00:00,2019-05-11 00:00:00,2019-06-11 12:41:00,/,2019-08-11 04:50:00,2019-09-11 00:00:00,2019-10-11 00:00:00,2019-11-11 00:00:00,/
12,2019-01-12 00:00:00,2019-02-12 00:00:00,2019-03-12 00:00:00,2019-04-12 00:00:00,2019-05-12 00:00:00,2019-06-12 09:16:00,2019-07-12 02:11:00,2019-08-12 00:08:00,/,2019-10-12 00:00:00,2019-11-12 00:00:00,2019-12-12 00:00:00
13,2019-01-13 00:00:00,2019-02-13 00:00:00,2019-03-13 00:00:00,2019-04-13 00:00:00,2019-05-13 00:00:00,2019-06-13 23:24:00,2019-07-13 00:00:00,2019-08-13 05:21:00,2019-09-13 00:00:00,2019-10-13 00:00:00,2019-11-13 00:00:00,2019-12-13 00:00:00
14,2019-01-14 00:00:00,2019-02-14 00:00:00,2019-03-14 00:00:00,2019-04-14 00:00:00,2019-05-14 00:00:00,2019-06-14 06:05:00,2019-07-14 00:00:00,2019-08-14 23:41:00,2019-09-14 00:00:00,2019-10-14 00:00:00,2019-11-14 00:00:00,2019-12-14 00:00:00
15,2019-01-15 00:00:00,2019-02-15 00:00:00,2019-03-15 05:58:00,2019-04-15 20:21:00,2019-05-15 12:30:00,2019-06-15 00:00:00,2019-07-15 00:00:00,2019-08-15 09:03:00,2019-09-15 00:00:00,2019-10-15 00:00:00,2019-11-15 00:00:00,2019-12-15 00:00:00
16,2019-01-16 07:26:00,2019-02-16 00:00:00,2019-03-16 00:00:00,2019-04-16 02:17:00,2019-05-16 00:00:00,2019-06-16 17:15:00,/,2019-08-16 10:15:00,2019-09-16 00:00:00,2019-10-16 00:00:00,2019-11-16 00:00:00,2019-12-16 00:00:00
17,2019-01-17 01:29:00,2019-02-17 00:00:00,2019-03-17 00:00:00,2019-04-17 00:00:00,/,2019-06-17 17:26:00,2019-07-17 00:00:00,2019-08-17 04:25:00,2019-09-17 00:00:00,2019-10-17 00:00:00,2019-11-17 00:00:00,2019-12-17 00:00:00
18,2019-01-18 00:00:00,2019-02-18 00:00:00,2019-03-18 00:00:00,2019-04-18 00:00:00,2019-05-18 02:10:00,2019-06-18 13:30:00,2019-07-18 14:02:00,2019-08-18 09:22:00,2019-09-18 00:00:00,2019-10-18 00:00:00,2019-11-18 00:00:00,2019-12-18 00:00:00
19,2019-01-19 00:00:00,2019-02-19 01:54:00,2019-03-19 00:00:00,2019-04-19 14:53:00,2019-05-19 05:51:00,2019-06-19 00:00:00,2019-07-19 20:07:00,/,2019-09-19 00:00:00,2019-10-19 00:00:00,2019-11-19 00:00:00,2019-12-19 00:00:00
20,2019-01-20 00:00:00,2019-02-20 00:00:00,2019-03-20 00:00:00,2019-04-20 00:00:00,2019-05-20 14:11:00,2019-06-20 00:00:00,2019-07-20 03:31:00,/,2019-09-20 00:00:00,2019-10-20 00:00:00,2019-11-20 00:00:00,2019-12-20 13:27:00
21,2019-01-21 11:14:00,2019-02-21 00:00:00,/,2019-04-21 21:02:00,2019-05-21 00:00:00,2019-06-21 00:00:00,2019-07-21 10:58:00,/,2019-09-21 00:00:00,2019-10-21 00:00:00,2019-11-21 00:00:00,2019-12-21 00:00:00
22,2019-01-22 00:00:00,2019-02-22 00:00:00,/,2019-04-22 00:00:00,2019-05-22 00:00:00,2019-06-22 00:00:00,2019-07-22 18:50:00,2019-08-22 15:21:00,2019-09-22 00:00:00,2019-10-22 00:00:00,2019-11-22 00:00:00,2019-12-22 00:00:00
23,2019-01-23 00:00:00,2019-02-23 00:00:00,/,2019-04-23 00:00:00,2019-05-23 04:17:00,2019-06-23 12:35:00,2019-07-23 13:39:00,2019-08-23 00:00:00,2019-09-23 00:00:00,2019-10-23 00:00:00,2019-11-23 00:00:00,2019-12-23 00:00:00
24,2019-01-24 00:00:00,2019-02-24 11:51:00,/,2019-04-24 00:00:00,2019-05-24 00:00:00,2019-06-24 07:17:00,2019-07-24 00:00:00,2019-08-24 16:48:00,2019-09-24 00:00:00,2019-10-24 00:00:00,2019-11-24 00:00:00,2019-12-24 00:00:00
25,2019-01-25 00:00:00,2019-02-25 00:00:00,2019-03-25 00:00:00,2019-04-25 00:00:00,2019-05-25 00:00:00,2019-06-25 17:55:00,2019-07-25 00:00:00,2019-08-25 03:02:00,2019-09-25 00:00:00,2019-10-25 00:00:00,2019-11-25 00:00:00,2019-12-25 00:00:00
26,2019-01-26 00:00:00,2019-02-26 00:00:00,2019-03-26 00:00:00,2019-04-26 00:00:00,2019-05-26 00:00:00,2019-06-26 16:16:00,2019-07-26 00:00:00,2019-08-26 16:11:00,2019-09-26 00:00:00,2019-10-26 00:00:00,2019-11-26 00:00:00,2019-12-26 00:00:00
27,2019-01-27 00:00:00,2019-02-27 00:00:00,2019-03-27 00:00:00,2019-04-27 00:00:00,/,2019-06-27 09:15:00,2019-07-27 18:30:00,/,2019-09-27 00:00:00,2019-10-27 00:00:00,2019-11-27 00:00:00,2019-12-27 00:00:00
28,2019-01-28 00:00:00,2019-02-28 00:00:00,2019-03-28 00:00:00,2019-04-28 00:00:00,2019-05-28 10:34:00,2019-06-28 00:00:00,/,2019-08-28 00:00:00,2019-09-28 00:00:00,2019-10-28 00:00:00,2019-11-28 00:00:00,2019-12-28 00:00:00
29,2019-01-29 00:00:00,,2019-03-29 22:46:00,2019-04-29 00:00:00,2019-05-29 00:00:00,2019-06-29 00:00:00,2019-07-29 17:38:00,2019-08-29 00:00:00,2019-09-29 00:00:00,2019-10-29 00:00:00,2019-11-29 00:00:00,2019-12-29 11:17:00
30,2019-01-30 00:00:00,,2019-03-30 01:48:00,2019-04-30 00:00:00,2019-05-30 00:00:00,2019-06-30 13:44:00,2019-07-30 00:00:00,2019-08-30 16:52:00,2019-09-30 00:00:00,2019-10-30 00:00:00,2019-11-30 00:00:00,2019-12-30 19:24:00
31,2019-01-31 00:00:00,,2019-03-31 00:00:00,,2019-05-31 00:00:00,,2019-07-31 16:21:00,2019-08-31 00:00:00,,2019-10-31 00:00:00,,2019-12-31 03:18:00
平均, , , , , , , , , , , , 
