2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1018.2,1015.7,1011.5,1014.0,1004.6,1004.7,998.1,1002.9,1003.8,1004.4,1009.6,1012.5
2,1018.1,1014.1,1008.8,1013.2,1007.0,1004.4,1000.8,1001.3,1004.4,1007.7,1008.4,1012.8
3,1018.2,1013.3,1006.5,1011.6,1008.7,1004.7,1005.7,999.0,1002.3,1008.3,1007.6,1014.6
4,1017.7,1013.4,1009.8,1010.9,1009.1,1005.9,1006.0,997.9,1001.3,1008.0,1007.1,1015.4
5,1015.2,1012.0,1008.7,1008.3,1006.4,1006.8,1003.3,998.1,998.0,1008.9,1005.8,1015.2
6,/,1010.4,1008.9,1008.9,1004.0,1007.3,1001.7,997.5,998.1,1010.3,1005.4,1014.3
7,1015.2,1010.8,1010.9,1008.4,1004.7,1006.9,1003.3,994.4,1000.1,1011.0,1006.5,1015.6
8,/,1011.4,1011.6,1008.6,1004.7,1005.2,1004.5,989.2,/,1010.5,1009.3,1017.0
9,1015.9,1013.6,1007.6,1007.6,1003.5,1003.4,1002.5,988.3,1002.4,1009.5,1011.0,1015.6
10,1014.9,1016.4,1007.9,1007.2,1004.5,1001.9,1002.9,995.1,1005.5,1008.1,1010.1,1012.5
11,1013.5,1018.1,1009.0,1006.7,1006.3,1001.8,1006.5,998.1,1006.7,1006.7,1010.2,/
12,1013.0,1018.2,1011.2,1009.2,/,1002.6,1005.8,998.9,1004.4,1007.5,1011.9,1015.1
13,/,1016.3,1013.7,1009.9,1006.0,1000.5,1003.6,999.1,1003.1,1009.4,1012.8,1016.9
14,1012.5,1015.7,1013.9,1008.8,1005.5,998.1,1001.8,999.3,1002.9,1011.3,1011.4,1016.0
15,1012.8,1015.3,1014.2,1008.9,1005.8,1000.8,1001.4,999.0,1002.7,1012.4,1010.8,1015.1
16,1013.1,1013.7,/,1007.8,1004.3,1003.3,1000.1,1000.8,1002.1,1011.8,1010.7,1013.4
17,1014.7,1013.0,1014.2,1007.0,/,1005.7,/,1003.2,1002.8,1010.7,1009.8,1013.3
18,1016.2,1011.5,1011.7,1007.0,1003.1,1006.1,992.5,1003.0,1003.5,1010.6,1008.7,1013.5
19,1015.0,1013.8,1010.4,/,1004.6,1004.8,/,1001.8,1003.1,1010.8,1009.3,1013.8
20,1013.6,1015.3,1009.5,1004.8,1004.3,1003.6,1003.4,1001.2,999.2,1010.0,1011.0,1013.2
21,/,1013.4,1008.0,/,1005.4,1003.0,1004.3,1001.2,999.4,1008.3,1010.1,1011.9
22,1014.6,1011.5,1008.7,1005.9,1005.9,1001.9,1003.4,1001.8,1006.3,1006.9,1009.5,1010.0
23,1014.3,1011.2,1012.0,1006.4,1006.7,1002.6,1003.2,1000.5,1010.8,1007.4,1011.2,1011.4
24,1014.5,1010.4,1013.1,1006.1,1007.7,1004.2,1004.0,990.9,1011.7,1010.7,1012.0,1012.5
25,1015.2,1011.6,1011.6,/,1006.6,1004.3,1004.8,1002.5,/,1011.6,1013.7,1010.8
26,1016.4,1012.5,1013.7,1007.1,1005.5,1001.6,1003.1,1005.4,1011.4,1011.8,1014.3,/
27,1017.7,1010.8,1012.8,1008.4,1005.4,999.7,1003.0,1004.2,1010.4,1009.9,1013.7,1013.2
28,1016.4,1010.2,1008.3,1008.7,1005.3,999.8,1003.9,1002.0,1008.7,1008.9,1014.4,1014.2
29,1016.4,,1006.5,1006.9,1005.4,999.6,1003.9,1003.3,1005.5,1009.2,1015.6,1013.4
30,1016.0,,1009.0,1004.6,1005.8,999.5,1003.0,1004.6,997.0,1010.4,1014.5,1014.6
31,1013.8,,1012.1,,1005.2,,1002.2,1003.4,,1010.3,,1018.3
平均,1015.3,1013.3,1010.5,1008.3,1005.6,1003.2,1002.9,999.6,1003.8,1009.5,1010.5,1014
