2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2021-01-01 15:12:00,2021-02-01 15:25:00,2021-03-01 14:58:00,2021-04-01 04:49:00,2021-05-01 02:43:00,2021-06-01 03:57:00,2021-07-01 16:04:00,,,,,
2,2021-01-02 14:59:00,2021-02-02 15:48:00,2021-03-02 03:47:00,2021-04-02 02:53:00,2021-05-02 01:27:00,2021-06-02 15:38:00,2021-07-02 16:11:00,,,,,
3,2021-01-03 14:58:00,2021-02-03 14:23:00,2021-03-03 17:42:00,2021-04-03 15:11:00,2021-05-03 16:18:00,2021-06-03 16:19:00,2021-07-03 16:01:00,,,,,
4,2021-01-04 14:56:00,2021-02-04 15:15:00,2021-03-04 13:48:00,2021-04-04 14:43:00,2021-05-04 16:03:00,2021-06-04 15:19:00,2021-07-04 03:00:00,,,,,
5,2021-01-05 14:25:00,2021-02-05 15:16:00,2021-03-05 15:02:00,2021-04-05 00:15:00,2021-05-05 03:45:00,2021-06-05 16:54:00,2021-07-05 19:31:00,,,,,
6,2021-01-06 15:00:00,2021-02-06 15:16:00,2021-03-06 15:36:00,2021-04-06 16:04:00,2021-05-06 16:34:00,2021-06-06 03:27:00,2021-07-06 04:24:00,,,,,
7,2021-01-07 15:52:00,2021-02-07 15:31:00,2021-03-07 03:16:00,2021-04-07 16:38:00,2021-05-07 17:25:00,2021-06-07 01:31:00,,,,,,
8,2021-01-08 04:35:00,2021-02-08 14:48:00,2021-03-08 15:38:00,2021-04-08 16:30:00,2021-05-08 16:01:00,2021-06-08 15:14:00,,,,,,
9,2021-01-09 14:31:00,2021-02-09 15:41:00,2021-03-09 14:36:00,2021-04-09 03:18:00,2021-05-09 16:24:00,2021-06-09 16:56:00,,,,,,
10,2021-01-10 15:23:00,2021-02-10 23:52:00,2021-03-10 15:22:00,2021-04-10 15:34:00,2021-05-10 02:07:00,2021-06-10 16:11:00,,,,,,
11,2021-01-11 14:49:00,2021-02-11 14:25:00,2021-03-11 15:58:00,2021-04-11 16:06:00,2021-05-11 14:45:00,2021-06-11 06:46:00,,,,,,
12,2021-01-12 15:20:00,2021-02-12 04:46:00,2021-03-12 16:17:00,2021-04-12 15:21:00,2021-05-12 16:00:00,2021-06-12 16:12:00,,,,,,
13,2021-01-13 14:38:00,2021-02-13 14:29:00,2021-03-13 15:20:00,2021-04-13 17:34:00,2021-05-13 03:41:00,2021-06-13 16:37:00,,,,,,
14,2021-01-14 14:41:00,2021-02-14 15:37:00,2021-03-14 15:26:00,2021-04-14 16:22:00,2021-05-14 16:34:00,2021-06-14 17:08:00,,,,,,
15,2021-01-15 15:03:00,2021-02-15 14:01:00,2021-03-15 17:02:00,2021-04-15 15:37:00,2021-05-15 16:21:00,2021-06-15 17:02:00,,,,,,
16,2021-01-16 03:38:00,2021-02-16 15:26:00,2021-03-16 15:36:00,2021-04-16 14:44:00,2021-05-16 15:35:00,2021-06-16 01:19:00,,,,,,
17,2021-01-17 14:55:00,2021-02-17 03:43:00,2021-03-17 15:48:00,2021-04-17 16:00:00,2021-05-17 17:31:00,2021-06-17 16:04:00,,,,,,
18,2021-01-18 15:49:00,2021-02-18 15:03:00,2021-03-18 16:28:00,2021-04-18 16:30:00,2021-05-18 15:51:00,2021-06-18 16:15:00,,,,,,
19,2021-01-19 14:58:00,2021-02-19 14:55:00,2021-03-19 16:00:00,2021-04-19 15:49:00,2021-05-19 14:55:00,2021-06-19 16:27:00,,,,,,
20,2021-01-20 15:20:00,2021-02-20 15:59:00,2021-03-20 14:50:00,2021-04-20 16:01:00,2021-05-20 13:39:00,2021-06-20 17:28:00,,,,,,
21,2021-01-21 15:36:00,2021-02-21 15:36:00,2021-03-21 02:05:00,2021-04-21 15:14:00,2021-05-21 16:36:00,2021-06-21 03:10:00,,,,,,
22,2021-01-22 16:47:00,2021-02-22 15:37:00,2021-03-22 02:32:00,2021-04-22 17:39:00,2021-05-22 15:53:00,2021-06-22 02:40:00,,,,,,
23,2021-01-23 15:55:00,2021-02-23 15:54:00,2021-03-23 15:32:00,2021-04-23 16:08:00,2021-05-23 15:27:00,2021-06-23 03:42:00,,,,,,
24,2021-01-24 03:52:00,2021-02-24 15:42:00,2021-03-24 18:02:00,2021-04-24 14:55:00,2021-05-24 14:56:00,2021-06-24 15:34:00,,,,,,
25,2021-01-25 15:02:00,2021-02-25 15:09:00,2021-03-25 03:17:00,2021-04-25 04:20:00,2021-05-25 15:33:00,2021-06-25 16:18:00,,,,,,
26,2021-01-26 15:30:00,2021-02-26 15:57:00,2021-03-26 17:59:00,2021-04-26 14:10:00,2021-05-26 16:37:00,2021-06-26 03:35:00,,,,,,
27,2021-01-27 14:56:00,2021-02-27 03:44:00,2021-03-27 16:54:00,2021-04-27 02:50:00,2021-05-27 16:06:00,2021-06-27 16:26:00,,,,,,
28,2021-01-28 04:34:00,2021-02-28 15:33:00,2021-03-28 15:40:00,2021-04-28 16:02:00,2021-05-28 15:26:00,2021-06-28 15:50:00,,,,,,
29,2021-01-29 04:51:00,,2021-03-29 16:12:00,2021-04-29 18:30:00,2021-05-29 16:08:00,2021-06-29 15:03:00,,,,,,
30,2021-01-30 14:50:00,,2021-03-30 17:29:00,2021-04-30 15:08:00,2021-05-30 16:12:00,2021-06-30 16:49:00,,,,,,
31,2021-01-31 15:09:00,,2021-03-31 14:48:00,,2021-05-31 13:04:00,,,,,,,
平均, , , , , , , , , , , , 
