2019年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,/,1019.9,1015.4,1018.1,1007.5,1007.2,1001.6,1005.7,1006.7,1008.5,1012.9,1016.1
2,/,1017.7,1012.1,1016.7,1010.4,1006.9,1002.5,1004.2,1007.3,1010.2,1011.7,1017.2
3,1021.8,1016.2,1009.8,1016.0,1012.0,1007.4,1007.8,1001.8,1004.9,1011.2,1011.4,1018.3
4,1021.1,1016.9,1013.4,1014.7,1011.7,1008.5,1008.1,1000.7,1004.0,1011.1,1010.8,1018.9
5,1019.0,1015.6,1012.2,1012.2,1009.5,1009.6,1005.4,/,1001.7,1011.9,1009.3,1019.4
6,1019.0,1013.5,1012.9,1012.0,1007.8,1010.0,1003.6,1000.0,1000.7,1013.1,1008.8,1018.2
7,1019.0,1014.0,1015.2,1011.5,1008.3,1009.7,1005.3,997.0,/,1013.9,1010.0,1019.5
8,1018.9,1015.4,1015.4,1011.5,1008.2,1007.9,1006.4,992.3,1004.2,1013.4,1013.0,1020.5
9,1019.7,1017.5,1010.8,1010.2,1007.0,1005.8,1004.4,991.1,1005.3,1012.3,1014.5,1018.8
10,1018.7,1020.4,1011.6,1010.2,1008.1,1004.0,1004.7,996.3,1008.3,1011.1,1013.3,/
11,1017.3,1022.2,1012.6,1010.1,1009.7,1004.1,1008.5,1000.1,1009.5,1009.7,1013.5,/
12,1016.7,1022.0,1014.5,1013.0,/,/,1008.1,1001.1,1006.0,1010.4,1015.0,1018.5
13,1016.9,1020.2,1017.0,1013.5,1009.2,1002.8,1005.9,1001.4,1005.9,1012.3,1016.1,1020.8
14,1016.2,1019.5,1017.6,1012.6,1008.6,1000.7,1004.5,1001.6,1005.8,1014.6,1015.0,1019.7
15,1016.7,1018.7,1018.3,1012.5,/,1004.0,1004.4,1001.0,1005.7,1015.7,1014.1,1018.6
16,1017.3,1017.4,1017.3,1011.5,1007.0,1006.3,1003.4,1002.8,1004.7,1015.2,1013.9,1017.0
17,1019.0,1017.2,1017.6,1010.5,1005.5,1008.7,996.7,1005.0,1006.1,1014.1,1013.3,1016.6
18,1019.6,1015.0,1015.4,1010.3,1005.2,1008.8,995.3,1005.1,1006.8,1014.1,1012.5,1017.1
19,1018.7,1016.9,1013.8,1008.6,/,1007.7,999.3,1004.2,1006.6,1014.5,1013.8,1017.8
20,1017.5,1018.6,1012.2,1007.8,1006.8,1006.4,1005.4,1004.0,1003.7,1013.5,1014.7,1017.1
21,1018.5,1017.0,1010.8,1008.3,1008.3,1005.6,1006.5,1004.1,1003.5,1011.6,1013.9,1015.5
22,1018.9,1015.8,1012.5,1009.1,1008.8,1004.4,1006.1,1005.1,1009.9,1010.2,1013.0,1013.9
23,1018.1,1015.3,1016.0,1009.3,1010.1,1004.9,1006.0,1003.3,1014.1,1010.8,1014.6,1015.2
24,1018.2,1014.5,1016.4,1009.0,1010.7,1007.0,1006.8,993.9,1015.0,1013.2,1015.5,1016.5
25,1019.2,1015.4,1015.4,1008.6,1009.7,1006.8,1007.6,1004.3,1014.7,1014.8,1017.2,1014.3
26,1020.6,1016.2,1017.4,1010.2,1008.6,1003.8,1005.8,1008.3,1014.6,1015.0,1017.8,1013.8
27,1021.5,1014.7,1016.0,1011.7,1008.2,1002.0,1005.6,1007.5,1013.4,1013.3,1017.2,1017.2
28,1020.0,1014.1,1011.1,1012.0,1008.6,1002.3,1007.0,1005.1,1011.8,1012.7,1018.3,1017.7
29,1020.1,,1009.6,1010.0,1008.9,1002.0,1007.0,1006.2,1008.7,1013.2,1019.0,1017.2
30,1019.5,,1012.5,1007.1,1009.1,1002.3,1006.0,1007.5,1000.3,1013.8,1017.9,1018.8
31,1017.5,,1015.7,,1008.0,,1005.2,1006.2,,1013.7,,1022.3
平均,1018.8,1017.1,1014.1,1011.3,1008.6,1005.8,1004.9,1002.2,1007.2,1012.7,1014.1,1017.7
