2013年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,2013-01-01 02:00:00,2013-02-01 05:00:00,2013-03-01 04:00:00,2013-04-01 02:00:00,2013-05-01 20:00:00,2013-06-01 03:00:00,2013-07-01 05:00:00,2013-08-01 06:00:00,2013-09-01 10:00:00,2013-10-01 23:59:59,2013-11-01 01:00:00,2013-12-01 07:00:00
2,2013-01-02 04:00:00,2013-02-02 07:00:00,2013-03-02 20:00:00,2013-04-02 23:59:59,2013-05-02 01:00:00,2013-06-02 06:00:00,2013-07-02 06:00:00,2013-08-02 05:00:00,2013-09-02 08:00:00,2013-10-02 06:00:00,2013-11-02 02:00:00,2013-12-02 07:00:00
3,2013-01-03 23:59:59,2013-02-03 21:00:00,2013-03-03 23:59:59,2013-04-03 04:00:00,2013-05-03 08:00:00,2013-06-03 06:00:00,2013-07-03 04:00:00,2013-08-03 05:00:00,2013-09-03 07:00:00,2013-10-03 05:00:00,2013-11-03 05:00:00,2013-12-03 07:00:00
4,2013-01-04 06:00:00,2013-02-04 02:00:00,2013-03-04 02:00:00,2013-04-04 05:00:00,2013-05-04 09:00:00,2013-06-04 23:00:00,2013-07-04 06:00:00,2013-08-04 04:00:00,2013-09-04 01:00:00,2013-10-04 05:00:00,2013-11-04 23:59:59,2013-12-04 07:00:00
5,2013-01-05 23:59:59,2013-02-05 07:00:00,2013-03-05 05:00:00,2013-04-05 01:00:00,2013-05-05 06:00:00,2013-06-05 04:00:00,2013-07-05 06:00:00,2013-08-05 06:00:00,2013-09-05 08:00:00,2013-10-05 06:00:00,2013-11-05 05:00:00,2013-12-05 05:00:00
6,2013-01-06 01:00:00,2013-02-06 23:59:59,2013-03-06 07:00:00,2013-04-06 23:59:59,2013-05-06 23:00:00,2013-06-06 05:00:00,2013-07-06 18:00:00,2013-08-06 05:00:00,2013-09-06 06:00:00,2013-10-06 23:59:59,2013-11-06 01:00:00,2013-12-06 04:00:00
7,2013-01-07 01:00:00,2013-02-07 02:00:00,2013-03-07 07:00:00,2013-04-07 07:00:00,2013-05-07 06:00:00,2013-06-07 06:00:00,2013-07-07 20:00:00,2013-08-07 06:00:00,2013-09-07 06:00:00,2013-10-07 06:00:00,2013-11-07 05:00:00,2013-12-07 07:00:00
8,2013-01-08 23:59:59,2013-02-08 23:00:00,2013-03-08 07:00:00,2013-04-08 01:00:00,2013-05-08 05:00:00,2013-06-08 02:00:00,2013-07-08 06:00:00,2013-08-08 04:00:00,2013-09-08 06:00:00,2013-10-08 05:00:00,2013-11-08 06:00:00,2013-12-08 06:00:00
9,2013-01-09 07:00:00,2013-02-09 05:00:00,2013-03-09 07:00:00,2013-04-09 06:00:00,2013-05-09 04:00:00,2013-06-09 01:00:00,2013-07-09 20:00:00,2013-08-09 06:00:00,2013-09-09 06:00:00,2013-10-09 06:00:00,2013-11-09 07:00:00,2013-12-09 23:00:00
10,2013-01-10 23:59:59,2013-02-10 04:00:00,2013-03-10 06:00:00,2013-04-10 06:00:00,2013-05-10 04:00:00,2013-06-10 13:00:00,2013-07-10 05:00:00,2013-08-10 06:00:00,2013-09-10 06:00:00,2013-10-10 05:00:00,2013-11-10 01:00:00,2013-12-10 05:00:00
11,2013-01-11 07:00:00,2013-02-11 01:00:00,2013-03-11 23:59:59,2013-04-11 21:00:00,2013-05-11 23:59:59,2013-06-11 23:00:00,2013-07-11 04:00:00,2013-08-11 03:00:00,2013-09-11 06:00:00,2013-10-11 01:00:00,2013-11-11 22:00:00,2013-12-11 23:00:00
12,2013-01-12 03:00:00,2013-02-12 23:59:59,2013-03-12 04:00:00,2013-04-12 18:00:00,2013-05-12 15:00:00,2013-06-12 21:00:00,2013-07-12 04:00:00,2013-08-12 04:00:00,2013-09-12 20:00:00,2013-10-12 03:00:00,2013-11-12 04:00:00,2013-12-12 07:00:00
13,2013-01-13 23:59:59,2013-02-13 07:00:00,2013-03-13 23:59:59,2013-04-13 03:00:00,2013-05-13 05:00:00,2013-06-13 01:00:00,2013-07-13 11:00:00,2013-08-13 04:00:00,2013-09-13 03:00:00,2013-10-13 05:00:00,2013-11-13 23:59:59,2013-12-13 23:59:59
14,2013-01-14 23:59:59,2013-02-14 23:59:59,2013-03-14 05:00:00,2013-04-14 12:00:00,2013-05-14 06:00:00,2013-06-14 04:00:00,2013-07-14 02:00:00,2013-08-14 20:00:00,2013-09-14 06:00:00,2013-10-14 06:00:00,2013-11-14 07:00:00,2013-12-14 02:00:00
15,2013-01-15 07:00:00,2013-02-15 23:00:00,2013-03-15 01:00:00,2013-04-15 05:00:00,2013-05-15 05:00:00,2013-06-15 05:00:00,2013-07-15 20:00:00,2013-08-15 01:00:00,2013-09-15 06:00:00,2013-10-15 23:59:59,2013-11-15 23:00:00,2013-12-15 01:00:00
16,2013-01-16 08:00:00,2013-02-16 07:00:00,2013-03-16 04:00:00,2013-04-16 06:00:00,2013-05-16 07:00:00,2013-06-16 05:00:00,2013-07-16 04:00:00,2013-08-16 06:00:00,2013-09-16 05:00:00,2013-10-16 23:00:00,2013-11-16 02:00:00,2013-12-16 23:59:59
17,2013-01-17 23:59:59,2013-02-17 07:00:00,2013-03-17 06:00:00,2013-04-17 23:59:59,2013-05-17 03:00:00,2013-06-17 05:00:00,2013-07-17 06:00:00,2013-08-17 06:00:00,2013-09-17 08:00:00,2013-10-17 03:00:00,/,2013-12-17 03:00:00
18,2013-01-18 23:59:59,2013-02-18 07:00:00,2013-03-18 06:00:00,2013-04-18 05:00:00,2013-05-18 05:00:00,2013-06-18 03:00:00,2013-07-18 02:00:00,2013-08-18 06:00:00,2013-09-18 08:00:00,2013-10-18 05:00:00,2013-11-18 23:59:59,2013-12-18 23:00:00
19,2013-01-19 03:00:00,2013-02-19 23:59:59,2013-03-19 07:00:00,2013-04-19 23:59:59,2013-05-19 19:00:00,2013-06-19 06:00:00,2013-07-19 06:00:00,2013-08-19 04:00:00,2013-09-19 03:00:00,2013-10-19 06:00:00,2013-11-19 02:00:00,2013-12-19 06:00:00
20,2013-01-20 07:00:00,2013-02-20 01:00:00,2013-03-20 23:59:59,2013-04-20 23:59:59,2013-05-20 23:00:00,2013-06-20 05:00:00,2013-07-20 05:00:00,2013-08-20 20:00:00,2013-09-20 07:00:00,2013-10-20 06:00:00,2013-11-20 03:00:00,2013-12-20 06:00:00
21,2013-01-21 04:00:00,2013-02-21 03:00:00,2013-03-21 06:00:00,2013-04-21 23:59:59,2013-05-21 02:00:00,2013-06-21 14:00:00,2013-07-21 06:00:00,2013-08-21 13:00:00,2013-09-21 01:00:00,2013-10-21 23:59:59,2013-11-21 01:00:00,2013-12-21 06:00:00
22,2013-01-22 05:00:00,2013-02-22 07:00:00,2013-03-22 06:00:00,2013-04-22 01:00:00,2013-05-22 06:00:00,2013-06-22 05:00:00,2013-07-22 06:00:00,2013-08-22 23:59:59,2013-09-22 07:00:00,2013-10-22 06:00:00,2013-11-22 23:59:59,2013-12-22 04:00:00
23,2013-01-23 23:59:59,2013-02-23 07:00:00,2013-03-23 02:00:00,2013-04-23 01:00:00,2013-05-23 07:00:00,2013-06-23 06:00:00,2013-07-23 06:00:00,2013-08-23 02:00:00,2013-09-23 04:00:00,2013-10-23 02:00:00,2013-11-23 07:00:00,2013-12-23 07:00:00
24,2013-01-24 05:00:00,2013-02-24 07:00:00,2013-03-24 09:00:00,2013-04-24 23:59:59,2013-05-24 05:00:00,2013-06-24 07:00:00,2013-07-24 22:00:00,2013-08-24 23:00:00,2013-09-24 05:00:00,2013-10-24 06:00:00,2013-11-24 04:00:00,2013-12-24 08:00:00
25,2013-01-25 23:59:59,2013-02-25 01:00:00,2013-03-25 06:00:00,2013-04-25 23:59:59,2013-05-25 01:00:00,2013-06-25 13:00:00,2013-07-25 21:00:00,2013-08-25 06:00:00,2013-09-25 04:00:00,2013-10-25 23:59:59,2013-11-25 22:00:00,2013-12-25 01:00:00
26,2013-01-26 04:00:00,2013-02-26 04:00:00,2013-03-26 20:00:00,2013-04-26 07:00:00,2013-05-26 03:00:00,2013-06-26 06:00:00,2013-07-26 06:00:00,2013-08-26 06:00:00,2013-09-26 06:00:00,2013-10-26 22:00:00,2013-11-26 01:00:00,2013-12-26 23:59:59
27,2013-01-27 23:59:59,2013-02-27 23:59:59,2013-03-27 01:00:00,2013-04-27 07:00:00,2013-05-27 06:00:00,2013-06-27 04:00:00,2013-07-27 05:00:00,2013-08-27 06:00:00,2013-09-27 06:00:00,2013-10-27 04:00:00,2013-11-27 06:00:00,2013-12-27 22:00:00
28,2013-01-28 07:00:00,2013-02-28 02:00:00,2013-03-28 03:00:00,2013-04-28 07:00:00,2013-05-28 01:00:00,2013-06-28 02:00:00,2013-07-28 06:00:00,2013-08-28 06:00:00,2013-09-28 05:00:00,2013-10-28 07:00:00,2013-11-28 19:00:00,2013-12-28 02:00:00
29,2013-01-29 03:00:00,,2013-03-29 23:59:59,2013-04-29 06:00:00,2013-05-29 03:00:00,2013-06-29 05:00:00,2013-07-29 06:00:00,2013-08-29 21:00:00,2013-09-29 04:00:00,2013-10-29 06:00:00,2013-11-29 23:59:59,2013-12-29 23:59:59
30,2013-01-30 07:00:00,,2013-03-30 05:00:00,2013-04-30 05:00:00,2013-05-30 05:00:00,2013-06-30 04:00:00,2013-07-30 23:59:59,2013-08-30 02:00:00,2013-09-30 05:00:00,2013-10-30 06:00:00,2013-11-30 05:00:00,2013-12-30 01:00:00
31,2013-01-31 02:00:00,,2013-03-31 06:00:00,,2013-05-31 06:00:00,,2013-07-31 19:00:00,2013-08-31 23:59:59,,2013-10-31 05:00:00,,2013-12-31 07:00:00
平均, , , , , , , , , , , , 
