2014年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1018.5,1016.1,1015.4,1011.7,1014.5,1008.7,1011.1,1000.1,1011.9,1011.3,1013.3,1015.6
2,1016.8,1011.0,1015.4,1013.2,1015.5,1006.6,1008.5,1002.3,1011.7,1009.6,1014.1,1019.2
3,1015.0,1010.3,1017.6,1014.2,1015.0,1005.0,1005.6,1004.0,1009.8,1008.5,1015.4,1017.8
4,1016.0,1013.3,1017.9,1015.5,1013.3,1005.0,1005.6,1005.0,1008.0,1009.8,1016.7,1019.7
5,1017.9,1014.3,1018.5,1016.9,1013.8,1005.2,1005.6,1005.9,1006.8,1011.7,1017.5,1021.0
6,1018.3,1012.2,1019.2,1017.6,1016.5,1005.5,1004.7,1005.2,1007.4,1013.5,1017.1,1019.8
7,1017.4,1011.2,1020.9,1017.7,1014.4,1003.9,1000.3,1004.1,1009.7,1013.1,1017.4,1019.1
8,1017.8,1012.0,1019.1,1015.2,1012.4,1002.5,998.7,1003.6,1009.6,1010.8,1017.7,1018.6
9,1021.9,1012.6,1020.2,1014.3,1011.9,1001.0,1004.0,1005.4,1009.9,1008.2,1018.0,1019.3
10,1023.6,1017.0,1022.0,1014.8,1011.6,1000.1,1006.1,1006.0,1010.0,1006.8,1016.6,1018.7
11,1023.5,1018.4,1021.5,1014.4,1011.1,1001.0,1007.9,1004.7,1009.8,1008.8,1016.1,1018.3
12,1022.8,1017.3,1015.5,1012.9,1011.4,1001.8,1009.3,1003.5,1009.5,1011.4,1017.0,1022.6
13,1020.8,1018.4,1016.3,1013.0,1010.1,1004.4,1010.3,1006.0,1008.4,1015.4,1018.5,1023.6
14,1020.6,1019.8,1021.6,1015.0,1007.4,1005.7,1011.1,1010.3,1005.1,1017.2,1019.0,1022.6
15,1022.0,1019.9,1022.2,1015.6,1007.4,1005.7,1011.5,1011.3,1004.7,1017.3,1019.1,1020.7
16,1022.6,1019.6,1022.1,1014.0,1010.4,1005.1,1009.2,1009.4,1011.1,1018.1,1016.8,1023.0
17,1021.3,1019.0,1019.7,1012.8,1011.0,1007.0,1007.5,1008.9,1014.0,1017.0,1016.3,1025.4
18,/,1016.5,1017.2,1013.5,1011.2,1007.0,1009.5,1010.6,1010.6,1016.0,1018.8,1025.2
19,1024.7,1019.1,1014.5,1012.6,1010.4,1005.9,1010.2,1010.8,1005.0,1015.9,1019.1,1023.3
20,1022.0,1024.0,1014.9,1012.4,1008.8,1005.9,1007.9,1011.9,1001.4,1015.1,1017.8,1019.6
21,1022.2,1024.1,1018.9,1013.2,1009.0,1006.3,1004.4,1011.7,999.4,1015.6,1017.0,1021.9
22,1023.2,1023.6,1020.3,1013.4,1009.0,1007.1,996.8,1011.5,1007.2,1015.3,1015.6,1022.7
23,1022.3,1022.7,1021.9,1013.3,1012.2,1006.9,992.6,1011.1,1009.7,1015.7,1016.8,1021.5
24,1020.0,1021.5,1019.6,1012.8,1013.5,1007.3,1004.0,1011.0,1012.4,1016.2,1015.8,1021.5
25,1018.6,1019.9,1016.2,1013.1,1012.8,1008.6,1008.8,1011.7,1013.1,1016.9,1013.9,1021.1
26,1019.2,1019.0,1014.9,1013.4,1010.6,1008.6,1011.4,1011.9,1012.9,1017.1,1013.8,1020.6
27,1019.8,1019.5,1014.4,1012.9,1008.1,1007.4,1009.9,1012.6,1013.1,1016.4,1015.1,1021.0
28,1019.8,1018.0,1013.4,1012.5,1008.0,1006.0,1006.9,1013.7,1012.0,1016.8,1015.5,1020.4
29,1019.4,,1011.7,1012.6,1008.7,1007.9,1005.4,1013.0,1011.3,1017.1,1014.5,1018.9
30,1019.3,,1012.7,1012.7,1009.3,1010.4,1003.9,1012.2,1011.7,1016.1,1014.2,1019.0
31,1019.0,,1011.4,,1009.9,,1001.3,1011.4,,1014.4,,1020.7
平均,1020.2,1017.5,1017.6,1013.9,1011.3,1005.7,1006.1,1008.4,1009.2,1014,1016.5,1020.7
