2013年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1015.8,1016.6,1011.5,1011.1,1004.9,1005.0,1005.8,1002.6,1006.9,1007.7,1009.3,1016.8
2,1015.5,1016.1,1016.0,1009.8,1007.3,1003.6,1007.4,1006.6,1007.5,1007.4,1010.4,1015.7
3,1017.2,1015.9,1017.8,1008.5,1008.3,1004.5,1007.5,1010.2,1006.1,1007.2,1011.1,1015.0
4,1014.7,1015.2,1017.8,1005.3,1010.4,1007.3,1005.6,1008.9,1006.8,1006.1,1013.0,1013.9
5,1012.6,1014.5,1018.6,1002.4,1011.0,1008.4,1006.1,1007.0,1008.1,1003.3,1014.0,1012.8
6,1012.8,1012.9,1017.4,1002.4,1009.9,1007.4,1007.4,1007.1,1009.8,999.3,1014.3,1011.6
7,1012.2,1011.5,1015.7,1008.1,1009.1,1004.4,1008.8,1008.6,1009.8,1000.4,1013.4,1012.2
8,1012.2,1014.4,1013.8,1009.6,1008.8,1001.3,1009.0,1007.8,1009.7,1004.7,1013.0,1011.5
9,1013.6,1016.8,1011.9,1011.5,1007.9,1000.3,1007.1,1006.1,1008.8,1007.9,1012.6,1009.2
10,1014.9,1016.0,1011.6,1012.3,1005.4,1000.7,1005.6,1006.6,1007.5,1008.4,1012.8,1010.0
11,1015.4,1015.8,1013.0,1012.7,1004.2,1001.3,1004.8,1006.0,1007.8,1006.4,1011.4,1013.0
12,1012.4,1015.3,1011.9,1014.1,1005.8,1002.5,998.2,1003.7,1008.3,1005.5,1010.3,1013.2
13,1008.4,1015.0,1010.9,1012.7,1005.2,1002.4,996.4,1002.4,1006.5,1006.8,1010.1,1013.8
14,1013.8,1013.3,1015.0,1009.9,1004.9,1003.3,1005.8,/,1003.3,1007.6,1012.0,1014.6
15,1016.9,1012.9,1016.9,1007.9,1004.5,1005.2,1007.1,/,1002.4,1008.7,1013.0,1013.0
16,1017.6,1014.4,1015.5,1006.3,1005.1,1005.1,1006.2,/,1003.8,1013.2,1013.0,1009.4
17,1019.4,1012.1,1010.5,1006.1,1005.5,1002.4,1004.1,/,1004.7,1014.7,1013.4,1008.1
18,1021.1,1010.2,1007.6,1006.4,1005.0,999.9,1003.5,/,1004.3,1013.6,1015.9,1011.7
19,1019.2,1011.4,1009.0,1007.1,1003.7,998.8,1005.5,/,1002.8,1012.6,1017.3,1015.7
20,1018.3,1015.2,1009.7,1008.2,1003.7,1000.8,1006.5,994.0,997.4,1010.5,1016.0,1017.3
21,1016.6,1015.8,1010.8,1010.7,1005.0,1003.1,1005.3,989.1,986.8,1009.5,1014.8,1018.3
22,1015.4,1016.8,1010.0,1012.4,1005.2,1004.3,1006.1,994.8,995.1,1009.9,1014.9,1018.1
23,1014.6,1017.7,1008.2,1011.4,1006.7,1005.8,1007.2,1002.7,1002.7,1007.9,1013.7,1016.3
24,1013.6,1017.3,1007.1,1009.4,1006.9,1007.6,1006.7,1004.9,1004.5,1006.4,1010.4,1016.2
25,1013.8,1015.9,1009.3,1008.3,1007.1,1007.2,1005.7,1005.5,1006.2,1008.9,1009.5,1014.6
26,1014.6,1013.2,1009.2,1009.5,1006.6,1006.2,1006.3,1003.9,1007.8,1012.8,1012.6,1013.4
27,1016.3,1010.5,1008.9,1010.4,1006.1,1005.2,1006.8,1002.8,1007.3,1014.3,1013.7,1016.5
28,1017.6,1010.6,1009.7,1010.2,1007.9,1004.8,1007.3,1000.0,1005.4,1015.0,1017.4,1016.5
29,1018.3,,1009.8,1009.5,1008.7,1006.4,1006.0,1001.5,1005.1,1014.4,1018.6,1016.9
30,1018.9,,1010.0,1006.7,1008.2,1006.4,1004.3,1003.4,1006.4,1012.8,1017.2,1016.6
31,1018.3,,1011.0,,1006.7,,1003.4,1004.6,,1011.1,,1015.5
平均,1015.5,1014.4,1012.1,1009,1006.6,1004.1,1005.6,1003.6,1005,1008.9,1013.3,1014.1
