2021年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,0.0,0.0,0.0,0.0,0.0,7.0,0.0,,,,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
3,0.0,0.0,2.5,0.0,0.0,0.0,0.0,,,,,
4,0.0,0.0,0.0,0.0,0.0,6.5,0.0,,,,,
5,0.0,0.0,0.0,0.0,0.0,49.5,0.0,,,,,
6,0.0,0.0,0.0,0.0,0.0,20.5,0.0,,,,,
7,0.5,0.0,0.0,0.0,0.0,3.0,,,,,,
8,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,
9,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
10,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,
11,0.0,5.5,0.0,0.0,0.0,0.0,,,,,,
12,0.5,0.0,0.0,0.0,0.0,8.5,,,,,,
13,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
14,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
15,0.0,0.0,0.0,0.0,0.0,17.5,,,,,,
16,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,
17,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,
18,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
19,0.0,0.0,0.0,0.0,0.0,5.5,,,,,,
20,0.0,0.0,0.0,0.0,0.0,7.5,,,,,,
21,0.0,0.0,0.0,0.0,0.0,26.5,,,,,,
22,0.0,0.0,0.0,0.0,0.0,20.5,,,,,,
23,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,
24,0.0,0.0,1.5,0.0,0.0,2.0,,,,,,
25,0.0,0.0,0.0,4.5,0.0,8.0,,,,,,
26,0.0,0.0,0.0,0.0,0.0,0.5,,,,,,
27,0.0,0.0,0.0,3.0,0.0,0.5,,,,,,
28,0.0,0.0,0.0,0.0,0.0,22.0,,,,,,
29,0.0,,0.0,1.5,0.0,16.0,,,,,,
30,0.0,,0.0,0.0,58.5,0.0,,,,,,
31,0.0,,0.0,,4.0,,,,,,,
平均,0,0.2,0.1,0.3,2,8.4,0, , , , , 
