2011年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1018.7,1021.3,1015.1,1016.4,1011.3,1007.8,1011.0,1005.8,1003.2,1009.3,1014.4,1013.5
2,1020.0,1019.7,1016.9,1014.6,1010.8,1009.7,1009.0,1006.7,1005.5,1007.7,1012.8,1014.6
3,1019.3,1018.3,1018.0,1014.0,1010.5,1010.7,1008.9,1005.5,1007.8,1009.1,1013.1,1015.2
4,1019.6,1016.1,1019.1,1016.2,1011.3,1010.3,1010.1,1002.7,1008.0,1011.5,1013.7,1017.9
5,1018.2,1016.2,1018.4,1017.8,1011.5,1010.5,1008.9,1000.1,1008.0,1013.4,1013.7,1018.6
6,1019.4,1015.6,1015.2,1017.7,1010.7,1009.7,1005.6,1000.2,1008.2,1014.4,1012.7,1017.4
7,1021.1,1012.7,1015.5,1017.2,1010.1,1008.6,1004.9,1003.7,1008.1,1014.3,1012.5,1016.5
8,1018.9,1009.6,1019.1,1017.8,1009.5,1008.5,1005.6,1006.5,1009.0,1013.2,1011.4,1016.0
9,1017.6,1010.7,1021.1,1019.2,1007.5,1008.0,1004.3,1007.6,1011.4,1013.0,1008.5,1019.2
10,1017.6,1012.3,1020.5,1017.9,1006.4,1005.9,1002.2,1009.4,1012.0,1013.7,1008.9,1019.6
11,1016.2,1015.9,1019.3,1016.0,1007.7,1007.4,1003.2,1010.1,1011.3,1014.4,1012.4,1019.1
12,1017.1,1018.6,1017.6,1017.2,1009.5,1009.6,1004.7,1009.5,1010.6,1013.5,1015.3,1017.6
13,1017.3,1016.6,1015.7,1016.7,1011.1,1009.5,1005.6,1010.1,1008.1,1011.8,1016.3,1017.2
14,1015.8,1018.9,1014.9,1013.4,1013.0,1008.8,1006.4,1011.9,1006.4,1010.9,1016.9,1017.3
15,1018.0,1020.6,1017.1,1010.6,1014.7,1007.9,1008.1,1012.2,1007.4,1011.1,1017.2,1017.7
16,1021.4,1017.8,1020.5,1010.3,1013.0,1008.5,1006.2,1011.3,1006.9,1012.1,1015.5,1021.0
17,1022.5,1015.1,1020.8,1009.2,1010.9,1009.4,1002.9,1010.9,1005.5,1014.3,1014.4,1022.7
18,1020.2,1015.8,1018.5,1009.5,1010.7,1007.9,1000.5,1011.1,1007.1,1015.0,1011.6,1021.9
19,1017.5,1016.6,1014.7,1014.3,1011.4,1006.0,1002.0,1011.9,1009.3,1014.2,1012.6,1019.4
20,1015.7,1018.1,1012.2,1016.9,1010.1,1005.0,1006.1,1011.5,1010.5,1013.6,1018.5,1018.2
21,1016.6,1018.3,1012.8,1015.5,1008.6,1005.9,1007.6,1010.4,1010.3,1012.7,1020.5,1017.0
22,1019.3,1018.2,1017.1,1011.9,1008.5,1005.0,1007.9,1009.0,1010.5,1013.2,1019.9,1017.2
23,1020.4,1017.2,1019.8,1012.2,1008.5,1002.3,1008.0,1007.6,1010.1,1013.7,1019.2,1018.6
24,1021.3,1016.1,1020.2,1013.6,1008.9,996.9,1008.0,1007.3,1010.4,1013.6,1019.6,1020.6
25,1022.8,1016.7,1021.0,1013.2,1009.0,1000.0,1008.5,1005.5,1010.0,1014.7,1019.6,1022.7
26,1022.9,1017.3,1021.5,1010.1,1008.1,1004.4,1008.8,1004.3,1008.2,1015.9,1018.3,1023.7
27,1022.5,1016.4,1020.8,1008.5,1004.5,1005.8,1007.5,1002.4,1004.6,1016.6,1015.6,1023.2
28,1021.2,1014.8,1020.4,1011.7,1002.4,1008.2,1006.2,997.1,1005.8,1016.1,1013.1,1021.9
29,1022.9,,1020.4,1012.6,1010.9,1010.0,1006.7,992.5,1010.3,1014.5,1013.8,1019.7
30,1024.0,,1019.0,1011.4,1011.5,1011.0,1005.9,997.0,1011.2,1014.1,1013.1,1021.3
31,1023.6,,1018.3,,1008.8,,1005.3,999.7,,1015.1,,1022.0
平均,1019.7,1016.5,1018.1,1014.1,1009.7,1007.3,1006.3,1006.2,1008.5,1013.2,1014.8,1019
