2020年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1022.5,1018.7,1011.1,1010.8,1009.1,1008.1,1003.7,1005.7,1000.4,1005.8,1010.8,1014.7
2,1021.4,1018.9,1013.9,1014.0,1006.7,1007.5,1005.3,1004.0,1003.7,1007.1,1009.2,1012.9
3,1019.0,1017.9,1013.7,1013.8,1006.3,1006.5,1007.7,1003.5,1005.7,1006.7,1010.8,1013.6
4,1017.2,1016.5,1012.8,1014.1,1008.2,1007.0,1006.4,1004.3,1005.5,1005.7,1012.1,1013.5
5,1017.8,1016.1,1015.1,1014.9,1006.8,1006.0,1005.4,1007.5,1002.6,1007.0,1012.2,1014.2
6,1016.5,1015.5,1013.0,1012.1,1006.9,1005.9,1005.3,1007.3,1002.4,1008.9,1006.9,1013.7
7,1014.1,1017.4,1009.8,1010.8,1007.5,1006.1,1008.1,1005.5,1005.2,1009.1,1009.9,1013.9
8,1014.9,1019.0,1008.2,1012.2,1006.8,1005.5,1005.1,1002.3,1010.0,1009.4,1013.1,1014.2
9,1014.7,1020.2,1005.2,1013.4,1006.8,1007.4,1003.9,1001.6,1006.8,1008.9,1012.8,1012.5
10,1013.0,1019.2,1008.0,1014.5,1005.9,1007.2,1004.6,1003.0,1004.0,1007.5,1015.0,1011.5
11,1011.8,1017.9,1015.0,1011.4,1006.4,1004.9,1006.3,1003.9,1006.2,1005.4,1015.2,1011.0
12,1012.3,1013.9,1012.4,1011.5,1007.9,1003.4,1004.8,1010.2,1008.3,1006.2,1012.8,1010.4
13,1013.5,1012.3,1012.4,1014.9,1009.3,1004.1,1004.7,1009.0,1008.2,1008.8,1012.3,1011.0
14,1014.8,1011.9,1012.8,1013.8,1008.6,1008.6,1002.6,1006.6,1006.7,1010.0,1012.7,1013.8
15,1015.6,1010.1,1014.8,1012.3,1006.3,1010.1,1003.3,1006.8,1006.3,1009.4,1015.1,1016.4
16,1014.0,1013.0,1016.9,1012.5,1005.2,1007.5,1005.9,1006.7,1006.4,1009.7,1012.9,1017.3
17,1015.2,1019.7,1015.4,1012.3,1001.2,1007.0,1006.4,1005.6,1005.8,1010.6,1012.3,1015.8
18,1015.6,1021.0,1012.1,1010.8,1002.1,1007.0,1006.8,1005.5,1008.8,1010.8,1009.9,1015.4
19,1016.8,1021.3,1011.3,1009.4,1003.8,1007.2,1006.4,1005.5,1010.0,1009.6,1008.8,1016.6
20,1017.4,1021.8,1012.0,1010.4,1006.2,1006.0,1007.5,1005.9,1007.9,1008.2,1010.1,1017.7
21,1018.8,1023.0,1012.0,1010.1,1003.5,1004.4,1008.4,1004.0,1006.8,1004.2,1011.4,1017.1
22,1016.3,1022.0,1010.7,1011.0,1001.8,1005.0,1007.0,1003.3,1006.5,1004.1,1014.1,1014.0
23,1015.0,1019.8,1011.2,1013.6,1002.2,1005.5,1006.6,1004.2,1007.3,1007.2,1014.9,1012.6
24,1015.9,1017.1,1012.5,1013.9,1005.8,1004.5,1005.1,1000.8,1007.1,1009.8,1014.6,1011.0
25,1012.8,1014.4,1010.9,1013.8,1007.9,1005.1,1005.1,1001.0,1006.1,1010.4,1014.1,1014.1
26,1008.0,1014.8,1009.1,1012.4,1006.7,1007.4,1004.4,1001.0,1005.9,1008.3,1014.5,1013.7
27,1010.2,1016.0,1009.9,1013.0,1006.3,1007.0,1004.9,1001.1,1007.7,1008.5,1015.3,1011.4
28,1012.8,1014.4,1010.3,1012.8,1008.1,1005.3,1005.6,1001.8,1007.0,1011.8,1015.6,1009.9
29,1015.1,1010.8,1010.2,1012.9,1008.2,1004.4,1004.6,1002.0,1004.8,1012.5,1016.3,1009.7
30,1016.4,,1010.2,1012.0,1009.9,1003.5,1003.6,1001.5,1004.5,1013.2,1015.8,1012.5
31,1017.5,,1009.5,,1008.6,,1004.8,1000.5,,1011.8,,1021.2
平均,1015.4,1017.1,1011.7,1012.5,1006.4,1006.2,1005.5,1004.2,1006.2,1008.6,1012.7,1013.8
