2017年 日/月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
1,1018.9,1019.1,1016.4,1017.0,1012.5,1004.1,1007.4,1004.3,1002.9,1010.7,1014.7,1015.4
2,1018.3,1019.8,1016.5,1019.6,1011.9,1004.6,1007.6,1002.6,1003.1,1010.2,1011.8,1015.3
3,1017.5,1017.4,1014.9,1020.0,1011.7,1004.2,1008.0,1001.7,1006.8,1011.8,1013.1,1013.3
4,1016.2,1013.7,1012.9,1017.3,1011.8,1006.1,1009.2,1003.9,1009.2,1012.3,1015.4,1014.5
5,1014.9,1011.9,1010.9,1013.8,1012.8,1008.2,1010.7,1006.0,1007.8,1011.4,1015.7,1016.8
6,1014.2,1012.8,1011.8,1013.0,1013.9,1010.0,1010.6,1006.0,1006.8,1011.4,1014.4,1016.9
7,1012.0,1015.4,1014.8,1011.6,1012.6,1010.1,1011.1,1006.7,1008.5,1010.6,1014.9,1014.8
8,1010.8,1014.8,1015.9,1011.3,1010.3,1010.2,1010.9,1007.9,1009.8,1008.9,1013.6,1017.1
9,1013.8,1016.3,1014.4,1008.7,1011.6,1010.0,1010.0,1007.1,1009.7,1009.7,1013.4,1016.5
10,1016.7,1019.0,1011.1,1006.9,1013.2,1008.9,1009.2,1007.4,1011.0,1009.7,1013.5,1016.0
11,1015.3,1022.8,1013.6,1008.7,1013.4,1007.2,1010.6,1008.2,1009.0,1008.5,1013.6,1015.0
12,1013.3,1023.6,1012.8,1011.1,1009.1,1007.9,1012.0,1009.4,1007.8,1005.3,1012.3,1016.6
13,1013.2,1024.8,1009.7,1015.7,1009.3,1010.0,1009.0,1009.7,1007.6,1001.1,1011.3,1015.7
14,1015.7,1026.6,1013.6,1013.5,1009.1,1009.8,1009.2,1009.1,1006.3,1001.3,1012.6,1016.4
15,1017.8,1024.2,1015.8,1013.2,1008.3,1009.2,1009.1,1008.2,1007.7,1004.2,1014.2,1016.4
16,1017.4,1019.9,1015.1,1012.8,1005.6,1007.0,1009.3,1008.3,1006.8,1009.7,1012.7,1018.2
17,1019.7,1019.6,1016.3,1008.3,1007.0,1005.4,1010.9,1009.4,1007.9,1009.9,1009.5,1021.2
18,1019.8,1019.6,1016.9,1008.8,1010.2,1006.7,1011.9,1010.8,1008.8,1009.9,1010.3,1019.4
19,1017.6,1015.5,1017.0,1008.3,1011.2,1007.7,1009.6,1009.1,1009.6,1007.3,1014.8,1019.9
20,1019.8,1013.2,1013.8,1009.7,1007.9,1006.4,1009.3,1005.3,1008.2,1006.8,1015.4,1023.3
21,1022.1,1016.2,1013.2,1007.9,1005.8,1007.3,1009.3,998.4,1008.1,1007.4,1014.0,1021.8
22,1022.2,1013.8,1012.4,1009.7,1007.4,1009.3,1008.4,996.0,1010.0,1008.5,1012.5,1018.2
23,1022.8,1014.9,1012.1,1012.2,1007.4,1008.4,1007.8,1005.0,1011.0,1012.4,1016.5,1015.1
24,1023.7,1019.2,1013.5,1013.5,1006.4,1007.0,1005.5,1010.5,1010.7,1015.9,1018.8,1014.7
25,1022.6,1016.8,1015.4,1011.9,1006.5,1008.1,1005.3,1007.5,1010.9,1015.8,1018.4,1016.8
26,1020.1,1017.9,1018.7,1009.4,1008.3,1009.3,1005.2,1007.4,1010.6,1012.3,1017.5,1018.6
27,1019.9,1019.8,1020.1,1010.0,1008.4,1010.2,1004.1,1009.9,1008.4,1009.8,1014.8,1018.6
28,1016.7,1017.0,1018.3,1012.3,1008.0,1010.6,1001.9,1009.6,1009.4,1010.6,1015.4,1018.7
29,1015.7,,1018.1,1012.6,1008.2,1010.3,993.4,1007.1,1011.6,1014.9,1015.1,1018.8
30,1016.3,,1016.4,1012.8,1008.7,1008.5,991.5,1005.5,1013.2,1017.7,1013.8,1018.9
31,1017.8,,1012.0,,1005.2,,996.4,1004.4,,1016.3,,1018.6
平均,1017.5,1018.1,1014.7,1012.1,1009.5,1008.1,1007.2,1006.5,1008.6,1010.1,1014.1,1017.3
